Name,Latitude,Longitude
Abrantes,40.37897637382603,-3.7261662062028895
Acacias,40.40106760340429,-3.7072610294032593
Adelfas,40.40111556830969,-3.6709732277223988
Aeropuerto,40.478558238940025,-3.5634464390850464
Aguilas,40.38180083945323,-3.7710874962059053
Alameda de Osuna,40.45655225292903,-3.5914380717433447
Almagro,40.43285025587371,-3.693538910096781
Almenara,40.47065909432004,-3.694309841859013
Almendrales,40.38366536879165,-3.6992666912524568
Aluche,40.39191120115025,-3.7566914592352565
Amposta,40.4261332877802,-3.62203834162787
Apostol Santiago,40.476403857885074,-3.659417216927543
Arapiles,40.434406860418164,-3.7080263301517626
Aravaca,40.454686756145904,-3.779097917128539
Arcos,40.421223017844305,-3.6175945340140263
Argüelles,40.42820853972242,-3.7178463049118546
Atalaya,40.464271605107434,-3.664942377504978
Atocha,40.39977451871923,-3.6819314789621496
Bellas Vistas,40.452455197371656,-3.7076381366683817
Berruguete,40.45962217112862,-3.7049550676777763
Buenavista,40.36709459688485,-3.7460792706974795
Butarque,40.3371148866431,-3.6762542378968073
Campamento,40.38516180389369,-3.803663348052115
Canillas,40.463780984333525,-3.643712565379971
Canillejas,40.44326115761722,-3.610525904259983
Casa de Campo,40.42363402636393,-3.753050044689
Casco Histórico de Barajas,40.47400498700304,-3.5788662625454317
Casco Histórico de Vallecas,40.34589091879824,-3.61822175562713
Casco histórico de Vicálvaro,40.388152643674324,-3.5798074105792437
Castellana,40.433556064894205,-3.6842962362296605
Castilla,40.47431651636663,-3.6797229831689284
Castillejos,40.46042015986331,-3.6941557994537315
Chopera,40.39476955002464,-3.6990718731119374
Ciudad Jardín,40.44829698365684,-3.673004117006167
Ciudad Universitaria,40.45595113431728,-3.738399484242599
Colina,40.45804727675086,-3.6603090454258234
Comillas,40.39350078497062,-3.711964151775288
Concepción,40.43931704568904,-3.649280697470993
Corralejos,40.46421136886546,-3.60717612001034
Cortes,40.41484403269354,-3.6968291528643844
Costillares,40.476653437244934,-3.6685172397472305
Cuatro Caminos,40.451532392935704,-3.6970449979933884
Cuatro Vientos,40.36868069188373,-3.7840515702611457
Cármenes,40.401485560641184,-3.7359299091609626
Delicias,40.3967985965012,-3.6898874936240347
El Cañaveral,40.403641636475,-3.545805132337018
El Goloso,40.534393182887676,-3.700003146169734
El Pardo,40.55290283048178,-3.767449177110907
El Plantío,40.46974083869752,-3.8209081758261196
El Viso,40.444874568451816,-3.684791343212601
Embajadores,40.40923896919342,-3.702463484108153
Ensanche de Vallecas,40.366415108378504,-3.6024464509816907
Entrevías,40.374792762623834,-3.67311160681499
Estrella,40.4140864942223,-3.665530664211136
Fontarrón,40.4014150662042,-3.6467751250715366
Fuente del Berro,40.424776451838234,-3.663793253376664
Fuentelareina,40.4811065495209,-3.7417862416698573
Gaztambide,40.434985518149986,-3.714607361162355
Goya,40.42505056182247,-3.674421405962692
Guindalera,40.43634212279892,-3.666591235971167
Hellín,40.43094691756839,-3.6168230641040537
Hispanoamérica,40.455366866282205,-3.677144198374789
Horcajo,40.408574901120026,-3.6269439654427145
Ibiza,40.41888456823116,-3.674337620786878
Imperial,40.40619016623863,-3.7183601165751545
Jerónimos,40.413743759304616,-3.6851431058872666
Justicia,40.42366147254862,-3.6966771761591493
La Paz,40.48114396456045,-3.6965976356751504
Legazpi,40.38891885392808,-3.687103175272014
Lista,40.432014382712154,-3.675826136174125
Los Angeles,40.3557904291943,-3.6991369645247403
Los Rosales,40.35569711340643,-3.688489330118259
Lucero,40.40229349679367,-3.7503454276491306
Marroquina,40.41073475227887,-3.640611328535166
Media Legua,40.41189485789176,-3.6568197109180747
Mirasierra,40.49631348764193,-3.719572476825392
Moscardó,40.388997860245745,-3.7068166115086942
Niño Jesús,40.411607308913375,-3.673426846739365
Nueva España,40.46276278222387,-3.67813924142773
Numancia,40.39949559232635,-3.658530819993908
Opañel,40.390227350881645,-3.7217780317440083
Orcasitas,40.368629089309714,-3.7124175903988226
Orcasur,40.3722212623231,-3.6981215493021717
Pacífico,40.40435252077722,-3.678721424775587
Palacio,40.415417279217166,-3.714071470759168
Palomas,40.45251147488313,-3.6155385200361714
Palomeras Bajas,40.384757947409724,-3.6588808325379634
Palomeras Sureste,40.385215509797526,-3.6372937950059825
Palos de Moguer,40.403494192763276,-3.6946204368362277
Pavones,40.39852891005806,-3.632165718674201
Peñagrande,40.478783446247384,-3.7258026430937434
Pilar,40.477139784209214,-3.7095903279142557
Pinar del Rey,40.472487617415446,-3.647030290724775
Piovera,40.45571272175323,-3.635081908249146
Portazgo,40.3906125750917,-3.6482408744995953
Pradolongo,40.378142426372996,-3.7071200411869167
Prosperidad,40.44423273547584,-3.6692874841403467
Pueblo Nuevo,40.426290917575756,-3.63546410284693
Puerta Bonita,40.37966158983526,-3.73908643631095
Puerta del Angel,40.409688050239666,-3.731804801271679
Quintana,40.43701278128709,-3.645066096199588
Recoletos,40.42459312341245,-3.6858398189052948
Rejas,40.44510101486564,-3.57016322924522
Rios Rosas,40.442416613031675,-3.697744451718512
Rosas,40.42766932648653,-3.594276621164009
Salvador,40.44529071739609,-3.630973622434719
San Cristobal,40.340887989886625,-3.688371578904517
San Diego,40.39002951563501,-3.6678679317219527
San Fermín,40.37061388053754,-3.6890725613880613
San Isidro,40.39659598271967,-3.7283335036478595
San Juan Bautista,40.45069249414909,-3.6563604345077847
San Pascual,40.44286368633861,-3.653463025381323
Santa Eugenia,40.38342474247323,-3.6113278913562374
Simancas,40.43532771703247,-3.625102073666418
Sol,40.417310575829006,-3.704555111511315
Timón,40.47756823862565,-3.6027636888078614
Trafalgar,40.43285153884758,-3.701133198693758
Universidad,40.42567078327049,-3.7070708998208772
Valdeacederas,40.46701985593771,-3.704157189281305
Valdebernardo,40.39660364794632,-3.6176283804615506
Valdefuentes,40.49370244279799,-3.635869418791791
Valdemarín,40.46813482518447,-3.778914351851503
Valderrivas,40.398787434348485,-3.6026384675329277
Valdezarza,40.46525325305018,-3.717301955780814
Vallehermoso,40.44289416761667,-3.711242241503362
Valverde,40.5002273738369,-3.678787131995852
Ventas,40.42247576824109,-3.647406840937094
"Villaverde Alto, Casco Histórico de Villaverde",40.34144807939019,-3.7089485245231777
Vinateros,40.405254260380346,-3.6424880947448988
Vista Alegre,40.384319107724444,-3.745753035382096
Zofío,40.379368799652546,-3.7153155986923543
