index,Date,Latitude,Longitude,Magnitude
138,05/01/1965,60.35,-146.17600000000002,5.6
139,05/02/1965,28.927,128.769,5.8
140,05/03/1965,-32.537,-70.569,5.8
141,05/03/1965,13.683,-89.07,5.9
142,05/03/1965,-24.281,-67.92699999999999,5.7
143,05/04/1965,41.801,79.414,6.2
144,05/12/1965,-3.523,137.924,5.7
145,05/12/1965,-6.174,130.358,6.1
146,05/15/1965,-4.131,134.946,5.8
147,05/16/1965,5.268,125.467,5.9
148,05/17/1965,22.336,121.248,6.7
149,05/19/1965,-8.937999999999999,159.083,5.6
150,05/19/1965,-6.575,105.311,5.6
151,05/19/1965,-4.819,152.436,5.5
152,05/20/1965,-14.921,167.34,7.7
153,05/22/1965,1.3090000000000002,126.239,5.7
154,05/22/1965,-21.126,-178.537,6.1
155,05/23/1965,52.149,175.11900000000003,6.0
156,05/24/1965,13.174,124.604,5.9
157,05/25/1965,51.227,178.882,5.8
158,05/26/1965,-55.957,-27.875,6.0
159,05/31/1965,-7.566,128.578,5.9
160,06/02/1965,-23.54,-179.917,5.7
161,06/02/1965,15.674,-46.712,5.9
162,06/05/1965,-1.649,126.552,5.6
163,06/11/1965,51.88399999999999,174.015,5.6
164,06/11/1965,44.608,149.02200000000002,7.0
165,06/11/1965,44.578,148.69899999999998,7.2
166,06/11/1965,44.133,149.255,5.5
167,06/11/1965,44.112,149.539,5.6
168,06/11/1965,44.299,149.032,5.7
169,06/12/1965,44.167,149.87,5.6
170,06/12/1965,43.775,149.44799999999998,5.7
171,06/12/1965,43.804,149.351,5.7
172,06/12/1965,43.885,149.339,5.5
173,06/12/1965,-20.38,-68.944,5.9
174,06/13/1965,41.705,143.727,6.1
175,06/13/1965,37.718,29.378,5.9
176,06/14/1965,-39.902,45.55,5.6
177,06/15/1965,-38.08,177.442,5.9
178,06/15/1965,-21.025,173.574,6.2
179,06/17/1965,32.052,87.78399999999999,5.9
180,06/20/1965,44.505,149.218,5.6
181,06/20/1965,42.973,-126.652,5.5
182,06/21/1965,28.134,55.891000000000005,5.9
183,06/22/1965,7.175,123.613,6.3
184,06/23/1965,56.543,-152.94799999999998,6.5
185,06/24/1965,7.034,126.25,5.8
186,06/27/1965,-54.437,4.965,5.7
187,06/27/1965,60.281000000000006,-141.418,6.5
188,06/27/1965,23.764,121.56,5.9
189,06/28/1965,-5.01,153.06,6.0
190,06/30/1965,-1.734,126.53,5.8
191,06/30/1965,51.813,176.53,5.7
192,07/01/1965,-63.159,-163.707,6.1
193,07/02/1965,52.99,-167.739,7.8
194,07/03/1965,22.338,101.496,5.9
195,07/06/1965,-22.567,172.93900000000002,5.8
196,07/06/1965,38.384,22.545,6.3
197,07/06/1965,46.591,152.467,5.6
198,07/06/1965,-4.408,155.062,6.3
199,07/07/1965,-6.819,105.505,5.7
200,07/12/1965,-28.428,-68.25,5.7
201,07/15/1965,7.74,123.811,6.0
202,07/17/1965,-9.72,159.888,5.9
203,07/20/1965,7.56,124.247,5.7
204,07/21/1965,53.318000000000005,170.365,5.5
205,07/25/1965,1.813,99.276,5.5
206,07/25/1965,41.278,146.68200000000002,5.6
207,07/25/1965,51.472,175.894,5.7
208,07/28/1965,-2.335,101.767,5.6
209,07/29/1965,51.05,-171.28900000000002,6.8
210,07/29/1965,50.799,-171.607,5.7
211,07/29/1965,51.076,-171.46599999999998,5.6
212,07/30/1965,6.789,-72.907,5.6
213,08/01/1965,-32.441,-178.803,5.9
214,08/02/1965,-56.04600000000001,157.922,7.3
215,08/03/1965,-7.526,-81.179,5.7
216,08/05/1965,-5.212999999999999,151.701,6.5
217,08/11/1965,-15.449000000000002,166.98,7.2
218,08/11/1965,-15.67,167.21599999999998,5.8
219,08/11/1965,-15.685,167.097,6.9
220,08/11/1965,-15.741,167.26,6.0
221,08/11/1965,-15.861,167.092,7.6
222,08/12/1965,-15.817,167.399,6.9
223,08/12/1965,-5.36,152.116,6.8
224,08/12/1965,-15.931,167.392,5.9
225,08/13/1965,-15.97,167.43900000000002,5.8
226,08/13/1965,-15.995,166.96,6.1
227,08/13/1965,-15.871,166.96,7.4
228,08/13/1965,-16.198,167.607,7.2
229,08/13/1965,-16.801,167.602,6.2
230,08/13/1965,-6.38,148.543,6.0
231,08/14/1965,-15.819,166.794,6.0
232,08/14/1965,-11.385,166.332,5.7
233,08/16/1965,-0.53,-19.951,6.2
234,08/17/1965,4.872,95.836,6.1
235,08/17/1965,-15.185,166.67,5.8
236,08/18/1965,-15.945,166.99900000000002,6.2
237,08/20/1965,-5.714,128.493,6.7
238,08/20/1965,-18.954,-68.82,6.7
239,08/20/1965,-22.887,-176.19400000000002,6.1
240,08/21/1965,-5.921,103.993,5.6
241,08/23/1965,40.459,26.206,6.0
242,08/23/1965,16.081,-95.867,7.4
243,08/24/1965,15.837,-96.235,5.8
244,08/27/1965,44.453,149.06,5.7
245,08/30/1965,-16.930999999999997,167.454,5.8
246,08/30/1965,-6.428,104.667,5.7
247,09/01/1965,-34.596,179.922,5.8
248,09/02/1965,51.867,175.451,5.5
249,09/04/1965,46.515,153.387,5.9
250,09/04/1965,58.09,-152.525,7.0
251,09/08/1965,57.513000000000005,-152.263,5.7
252,09/09/1965,6.47,-84.40799999999999,6.2
253,09/11/1965,-5.349,152.955,6.2
254,09/12/1965,-6.209,151.651,6.1
255,09/12/1965,-6.416,70.726,6.3
256,09/13/1965,55.338,165.731,5.9
257,09/13/1965,-36.448,-97.6,6.1
258,09/14/1965,8.382,126.895,5.8
259,09/16/1965,7.156000000000001,126.522,6.0
260,09/17/1965,-1.443,-77.476,6.5
261,09/17/1965,36.269,141.533,5.8
262,09/17/1965,36.245,141.53,5.9
263,09/17/1965,36.27,141.361,6.8
264,09/18/1965,8.187999999999999,126.874,6.0
265,09/21/1965,28.952,128.227,6.7
266,09/22/1965,20.682,99.326,5.9
267,09/22/1965,-5.391,151.631,5.9
268,09/22/1965,36.395,141.46,6.3
269,09/24/1965,13.092,145.167,5.6
270,09/25/1965,39.626,143.357,5.7
271,09/26/1965,-54.757,-38.244,5.8
272,09/27/1965,51.752,175.5,5.6
273,09/28/1965,-28.278,-177.99900000000002,6.5
274,09/30/1965,59.28,-144.06,6.1
275,10/01/1965,49.937,178.166,6.8
276,10/01/1965,-19.921,174.48,6.2
277,10/01/1965,-60.468,-24.551,6.0
278,10/03/1965,49.426,156.417,5.9
279,10/03/1965,-42.969,-75.225,5.9
280,10/07/1965,12.347,114.485,5.9
281,10/10/1965,-59.225,-25.091,5.8
282,10/12/1965,56.19,-153.615,5.6
283,10/16/1965,3.113,128.558,5.7
284,10/17/1965,-7.981,156.287,5.7
285,10/18/1965,-1.28,127.725,6.3
286,10/19/1965,52.36600000000001,174.25400000000002,6.1
287,10/23/1965,53.901,-165.403,5.6
288,10/24/1965,4.203,125.787,5.9
289,10/24/1965,49.646,156.116,5.6
290,10/25/1965,44.12,145.389,6.7
291,10/28/1965,-1.257,127.735,5.6
292,11/03/1965,-9.031,-71.139,6.7
293,11/03/1965,-22.457,-113.788,6.1
294,11/05/1965,-3.144,143.789,5.9
295,11/06/1965,-22.126,-113.928,6.2
296,11/12/1965,30.628,140.23,6.4
297,11/13/1965,43.745,87.84299999999999,6.5
298,11/13/1965,-29.414,-68.166,5.7
299,11/14/1965,36.514,141.22899999999998,5.7
300,11/15/1965,-0.2239999999999999,-18.645,6.1
301,11/16/1965,6.553,126.903,5.9
302,11/16/1965,30.887,-41.479,6.0
303,11/16/1965,25.449,125.319,5.7
304,11/18/1965,-7.058,129.347,5.6
305,11/18/1965,-18.855,-177.72099999999998,6.5
306,11/18/1965,53.909,160.579,6.0
307,11/20/1965,-7.225,129.12,5.8
308,11/21/1965,-6.193,130.40200000000002,6.5
309,11/22/1965,51.93600000000001,-176.092,5.7
310,11/22/1965,51.361,-179.71599999999998,5.9
311,11/23/1965,2.983,124.831,6.2
312,11/23/1965,51.42,-179.7,5.6
313,11/23/1965,-8.666,111.103,5.8
314,11/27/1965,33.011,141.079,5.6
315,11/27/1965,-9.611,159.797,5.8
316,11/28/1965,-45.847,-72.958,6.2
317,11/28/1965,36.096,27.318,5.9
318,11/28/1965,-4.841,103.103,5.8
319,12/04/1965,51.101000000000006,-170.604,5.8
320,12/05/1965,52.612,173.14,5.6
321,12/06/1965,18.919,-107.176,6.7
322,12/07/1965,-6.457999999999999,146.298,6.3
323,12/08/1965,-37.199,177.558,6.0
324,12/09/1965,17.135,-100.126,6.4
325,12/09/1965,-18.108,-178.062,6.2
326,12/10/1965,-11.292,166.143,5.9
327,12/13/1965,44.688,149.939,6.0
328,12/13/1965,44.757,150.195,5.6
329,12/15/1965,-56.722,-141.439,5.8
330,12/15/1965,7.65,-81.913,6.3
331,12/22/1965,52.293,160.356,5.8
332,12/22/1965,58.335,-153.303,6.1
333,12/23/1965,60.481,-140.766,5.6
334,12/25/1965,-18.096,-178.979,6.2
335,12/26/1965,-5.2010000000000005,151.583,5.9
336,12/28/1965,27.863000000000003,141.99200000000002,5.8
337,12/30/1965,54.21,-164.476,5.6
338,12/30/1965,-16.673,-71.111,5.8
339,01/05/1966,13.248,95.42,5.8
340,01/11/1966,0.586,120.141,5.9
341,01/11/1966,33.675,137.244,6.0
342,01/13/1966,52.82899999999999,172.048,5.7
343,01/16/1966,52.764,172.058,5.8
344,01/20/1966,37.883,138.151,5.8
345,01/22/1966,55.956,-153.942,6.2
346,01/24/1966,30.013,69.60600000000001,5.8
347,01/26/1966,-59.548,-26.465,5.6
348,01/28/1966,-17.114,168.55900000000003,6.0
349,01/28/1966,51.514,157.119,5.6
350,01/31/1966,-24.837,-64.413,5.7
351,02/03/1966,0.211,123.555,5.7
352,02/03/1966,16.709,119.973,5.7
353,02/03/1966,24.13,121.966,5.8
354,02/04/1966,-15.899,167.91400000000002,6.4
355,02/05/1966,39.093,21.777,6.2
356,02/05/1966,26.246,103.187,6.4
357,02/05/1966,50.023,155.506,5.9
358,02/07/1966,29.956,69.76100000000001,6.5
359,02/07/1966,30.276,70.041,6.5
360,02/09/1966,-56.79,-25.965,6.3
361,02/09/1966,-9.851,116.376,5.8
362,02/10/1966,31.193,142.001,5.8
363,02/10/1966,20.711,146.16299999999998,6.5
364,02/13/1966,-6.561,132.642,6.0
365,02/13/1966,26.12,103.222,5.9
366,02/16/1966,-17.67,168.021,6.6
367,02/17/1966,-32.265,78.866,6.6
368,02/17/1966,-32.233000000000004,78.999,5.7
369,02/18/1966,6.709,123.842,5.9
370,02/21/1966,-55.495,-27.079,6.0
371,02/21/1966,26.14,125.744,5.6
372,02/22/1966,-5.388,151.592,6.9
373,02/25/1966,-15.404000000000002,-172.843,6.0
374,02/26/1966,52.55,173.46200000000002,5.6
375,02/28/1966,43.691,139.738,5.6
376,02/28/1966,29.244,130.344,6.0
377,02/28/1966,-25.983,-70.328,5.7
378,03/03/1966,48.256,154.425,5.8
379,03/04/1966,-38.747,178.06099999999998,5.9
