dataset,algoritmo1,algoritmo2
City-Temp,24.17,22.92
Stocks-UK,21.51,16.7
Stocks-USA,19.22,12.06
Stocks-DE,20.78,13.46
IR-bio-temp,22.9,18.94
Wind-dir,28.15,19.8
PM10-dust,19.92,13.68
Dew-Point-Temp,39.03,32.49
Air-Pressure,27.89,19.23
Basel-wind,48.87,45.65
Basel-temp,36.51,30.12
Bitcoin-price,57.08,47.17
Bird-migration,35.94,28.37
Air-sensor,63.43,49.56
Food-prices,28.31,24.59
POI-lat,71.73,47.71
POI-Llon,75.89,54.55
Blockchain-tr,62.6,53.16
SD-bench,23.04,17.0
